"","occurrence_no","early_interval","late_interval","max_ma","max_ma_error","max_ma_method","min_ma","min_ma_error","min_ma_method","direct_ma_value","direct_ma_error","direct_ma_method","formation","member","spatial_resolution","collection_dates","research_group","ref_author","ref_pubyr"
"1",14494,"Lutetian","Priabonian",48.07,NA,"",33.9,NA,"",NA,NA,"","Moodys Branch","","","","marine invertebrate","Elder 1981",1981
"368",14925,"Lutetian","Priabonian",48.07,NA,"",33.9,NA,"",NA,NA,"","Cockfield","","","","marine invertebrate","Elder 1981",1981
"397",14961,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","","","","","marine invertebrate","Jablonski and Raup 1999",1999
"2378",16945,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Maastricht","Nekum","","","marine invertebrate","Jablonski and Raup 1999",1999
"5354",20015,"Lutetian","Priabonian",48.07,NA,"",33.9,NA,"",NA,NA,"","Yazoo Clay","","","","marine invertebrate","Elder 1981",1981
"5895",20679,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Lisbon","Upper","","","marine invertebrate","Hansen 1978",1978
"6206",21074,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Cook Mountain","","","","marine invertebrate","Hansen 1978",1978
"6292",21168,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Nanjemoy","","","","marine invertebrate","Hansen 1978",1978
"6564",23295,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Jalama","VII","","","marine invertebrate","Dailey and Popenoe 1966",1966
"6983",23718,"Early Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Pierre Shale","Upper Unnamed Shale","","","marine invertebrate","Gill et al. 1966",1966
"6988",23723,"Early Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Fox Hills","","","","marine invertebrate","Gill et al. 1966",1966
"7125",23870,"Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Lewis Shale","Kara Bentonitic","","","marine invertebrate","Gill et al. 1966",1966
"7460",24410,"Aptian","",121.4,NA,"",113.2,NA,"",NA,NA,"","Atherfield Clay","Perna","","","marine invertebrate","Casey 1961",1961
"7549",24513,"Aptian","",121.4,NA,"",113.2,NA,"",NA,NA,"","Ferruginous Sands","Lower Gryphaea","","","marine invertebrate","Casey 1961",1961
"7656",24632,"Middle Albian","",110.1,NA,"",106.3,NA,"",NA,NA,"","Monk’s Bay Sandstone","","","","marine invertebrate","Casey 1961",1961
"7705",24714,"Aptian","",121.4,NA,"",113.2,NA,"",NA,NA,"","Sandrock","","","","marine invertebrate","Casey 1961",1961
"7736",24745,"Aptian","",121.4,NA,"",113.2,NA,"",NA,NA,"","Hythe","","","","marine invertebrate","Casey 1961",1961
"7784",24803,"Aptian","",121.4,NA,"",113.2,NA,"",NA,NA,"","Sandgate","","","","marine invertebrate","Casey 1961",1961
"7818",24860,"Aptian","",121.4,NA,"",113.2,NA,"",NA,NA,"","Folkestone","","","","marine invertebrate","Casey 1961",1961
"7939",24998,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Budden Canyon","Bald Hills","","","marine invertebrate","Keupp 2008",2008
"8523",25775,"Aptian","",121.4,NA,"",113.2,NA,"",NA,NA,"","Woburn Sand","","","","marine invertebrate","Casey 1961",1961
"8531",25796,"Barremian","",125.77,NA,"",121.4,NA,"",NA,NA,"","Barranquín","Taguarumo","","","marine invertebrate","von der Osten 1957",1957
"8613",25904,"Early Albian","",113.2,NA,"",110.1,NA,"",NA,NA,"","Munday’s Hill Phosphatic Sandstone","Shenley Limestone","","","marine invertebrate","Casey 1961",1961
"8729",26046,"Late Aptian","",119.57,NA,"",113.2,NA,"",NA,NA,"","Alisitos","upper","","","marine invertebrate","Allison 1955",1955
"8838",26588,"Albian","",113.2,NA,"",100.5,NA,"",NA,NA,"","Kiowa","","","","marine invertebrate","Scott 1970",1970
"8878",26649,"Late Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Coleraine","","","","marine invertebrate","Bergquist 1944",1944
"9394",27347,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Aground Ouadar","","","","marine invertebrate","Rey et al. 1988",1988
"9402",27355,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Sidi Lhousseine","","","","marine invertebrate","Rey et al. 1988",1988
"9424",27385,"Hauterivian","",132.6,NA,"",125.77,NA,"",NA,NA,"","Talmest","","","","marine invertebrate","Rey et al. 1988",1988
"9425",27391,"Barremian","",125.77,NA,"",121.4,NA,"",NA,NA,"","Taboulouart","","","","marine invertebrate","Rey et al. 1988",1988
"9430",27401,"Aptian","",121.4,NA,"",113.2,NA,"",NA,NA,"","Tamzergout","","","","marine invertebrate","Rey et al. 1988",1988
"9437",27409,"Aptian","",121.4,NA,"",113.2,NA,"",NA,NA,"","Tadhart","","","","marine invertebrate","Rey et al. 1988",1988
"9442",27421,"Aptian","",121.4,NA,"",113.2,NA,"",NA,NA,"","Lemgo","","","","marine invertebrate","Rey et al. 1988",1988
"9463",27442,"Early Albian","",113.2,NA,"",110.1,NA,"",NA,NA,"","Oued Tidzi","","","","marine invertebrate","Rey et al. 1988",1988
"9472",27500,"Berriasian","",143.1,NA,"",137.05,NA,"",NA,NA,"","Himalia Ridge","","","","marine invertebrate","Butterworth et al. 1988",1988
"9479",27511,"Valanginian","Hauterivian",137.05,NA,"",125.77,NA,"",NA,NA,"","Spartan Glacier","","","","marine invertebrate","Butterworth et al. 1988",1988
"9494",27534,"Aptian","Albian",121.4,NA,"",100.5,NA,"",NA,NA,"","Pluto Glacier","","","","marine invertebrate","Butterworth et al. 1988",1988
"9632",27675,"Berriasian","",143.1,NA,"",137.05,NA,"",NA,NA,"","Rogozno","","","","marine invertebrate","Marek 1989",1989
"9648",27692,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Bodzanow","","","","marine invertebrate","Marek 1989",1989
"9680",27725,"Hauterivian","",132.6,NA,"",125.77,NA,"",NA,NA,"","Wloclawek","","","","marine invertebrate","Marek 1989",1989
"9687",27733,"Middle Albian","",110.1,NA,"",106.3,NA,"",NA,NA,"","Mogilno","","","","marine invertebrate","Marek 1989",1989
"9746",27793,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Mraznica","","","","marine invertebrate","Michalik and Vasicek 1989",1989
"9760",27867,"Hauterivian","",132.6,NA,"",125.77,NA,"",NA,NA,"","Kaliste","","","","marine invertebrate","Michalik and Vasicek 1989",1989
"9790",27897,"Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Eagle Ford","","","","marine invertebrate","Stephenson 1955",1955
"9814",27922,"Barremian","",125.77,NA,"",121.4,NA,"",NA,NA,"","Luckovska","","","","marine invertebrate","Michalik and Vasicek 1989",1989
"9977",28104,"Berriasian","",143.1,NA,"",137.05,NA,"",NA,NA,"","Cabonera","","","","marine invertebrate","Imlay 1940",1940
"9978",28107,"Berriasian","",143.1,NA,"",137.05,NA,"",NA,NA,"","Carbonera","","","","marine invertebrate","Imlay 1940",1940
"10017",28155,"Valanginian","Hauterivian",137.05,NA,"",125.77,NA,"",NA,NA,"","Taraises","","","","marine invertebrate","Imlay 1940",1940
"10027",28165,"Barremian","",125.77,NA,"",121.4,NA,"",NA,NA,"","Cupido","","","","marine invertebrate","Imlay 1940",1940
"10941",30266,"Early Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Vuache","","","","marine invertebrate,vertebrate","Jaccard 1869",1869
"11154",30697,"Albian","",113.2,NA,"",100.5,NA,"",NA,NA,"","Perte du Rhône","","","","marine invertebrate,vertebrate","Jaccard 1869",1869
"11229",30792,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Mergel and Kalk Zone","","","","marine invertebrate","Haefeli et al. 1965",1965
"11255",30824,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Marbre Batard","","","","marine invertebrate","Haefeli et al. 1965",1965
"11268",30841,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Couche de Villers","","","","marine invertebrate","Haefeli et al. 1965",1965
"11341",31018,"Hauterivian","",132.6,NA,"",125.77,NA,"",NA,NA,"","Zone de Pierre jaune","","","","marine invertebrate","Haefeli et al. 1965",1965
"11371",31273,"Hauterivian","",132.6,NA,"",125.77,NA,"",NA,NA,"","Alikper","","","","marine invertebrate","Bugrova 1990",1990
"11505",31457,"Early Barremian","",125.77,NA,"",121.4,NA,"",NA,NA,"","Moutonianum","","","","marine invertebrate","Company et al. 1995",1995
"12138",32102,"Hauterivian","",132.6,NA,"",125.77,NA,"",NA,NA,"","Buchia Ridge","","","","marine invertebrate","Hoare and Coonrad 1983",1983
"12153",32117,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Ungalikthluk Belt","","","","marine invertebrate","Hoare and Coonrad 1983",1983
"12156",32120,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Mount Oratia","","","","marine invertebrate","Hoare and Coonrad 1983",1983
"12172",32151,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Eek Mountain","","","","marine invertebrate","Hoare and Coonrad 1983",1983
"12439",32701,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Weches","","","","GCP,marine invertebrate","Ivany 1997",1997
"12478",32759,"Lutetian","Bartonian",48.07,NA,"",37.71,NA,"",NA,NA,"","Crockett","Stone City","","","GCP,marine invertebrate","Ivany 1997",1997
"12544",32834,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Kosciusko","Doby's Bluff Tongue","","","GCP,marine invertebrate","Ivany 1997",1997
"13637",34230,"Berriasian","",143.1,NA,"",137.05,NA,"",NA,NA,"","Paksa","Lower","","","marine invertebrate","Saks, ed 1975",1975
"14232",35248,"Barremian","",125.77,NA,"",121.4,NA,"",NA,NA,"","Qishn","Orbitolina Limestone","","","marine invertebrate","Howarth and Morris 1998",1998
"14257",35353,"Berriasian","",143.1,NA,"",137.05,NA,"",NA,NA,"","Hajar","Mintaq","","","marine invertebrate","Howarth and Morris 1998",1998
"14336",36630,"Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Greenhorn Limestone","Bridge Creek Limestone","","","marine invertebrate","Elder 1987",1987
"14432",36993,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Clayton","lower","","","GCP,marine invertebrate","Toulmin 1977",1977
"14600",37475,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Porters Creek","lower","","","GCP,marine invertebrate","Toulmin 1977",1977
"14796",38687,"Paleocene","",66,NA,"",56,NA,"",NA,NA,"","Naheola","Oak Hill","","","GCP,marine invertebrate","Toulmin 1977",1977
"14994",39524,"Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Mancos Shale","","","","marine invertebrate","Elder 1987",1987
"15292",40022,"Thanetian","",59.24,NA,"",56,NA,"",NA,NA,"","Vincentown","","","","marine invertebrate","Cook and Ramsdell 1991",1991
"15351",40172,"Paleocene","",66,NA,"",56,NA,"",NA,NA,"","Hückelhoven","","","","marine invertebrate","Anderson 1973",1973
"15436",40261,"Paleocene","",66,NA,"",56,NA,"",NA,NA,"","Lellinge Greensand","","","","marine invertebrate","Anderson 1975",1975
"15449",40329,"Late Campanian","Maastrichtian",83.6,NA,"",66,NA,"",NA,NA,"","Lopez de Bertodano","","","","marine invertebrate","Macellari 1988",1988
"15452",40345,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Dakhla","","","","marine invertebrate","Kassab et al. 1995",1995
"15457",40350,"Early Paleocene","",66,NA,"",61.66,NA,"",NA,NA,"","Kurkur","","","","marine invertebrate","Kassab et al. 1995",1995
"15717",40768,"Early Paleocene","",66,NA,"",61.66,NA,"",NA,NA,"","Sobral","","","","marine invertebrate","Macellari 1988",1988
"15936",41281,"Early Eocene","",56,NA,"",48.07,NA,"",NA,NA,"","London Clay","","","","marine invertebrate","Bone and King 1992",1992
"16043",41451,"Middle Eocene","",48.07,NA,"",37.71,NA,"",NA,NA,"","Barton Clay","","","","marine invertebrate","Cordiner and Bone 1986",1986
"16343",41928,"Late Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Tropic Shale","","","","marine invertebrate","Elder 1987",1987
"16374",41969,"Middle Eocene","Late Eocene",48.07,NA,"",33.9,NA,"",NA,NA,"","Qasr el-Sagha","","","","marine invertebrate","Roman and Strougo 1987",1987
"16408",42045,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Qarara","","","","marine invertebrate","Strougo and Azab 1982",1982
"16415",42142,"Early Eocene","",56,NA,"",48.07,NA,"",NA,NA,"","Thebes","","","","marine invertebrate","Strougo and Abul-Nasr 1981",1981
"16711",44197,"Bartonian","",41.03,NA,"",37.71,NA,"",NA,NA,"","Sables a Nummulites variolarius","","","","marine invertebrate","Morellet and Morellet 1945",1945
"17203",44868,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","Ocala Limestone","","","","GCP,marine invertebrate","Toulmin 1977",1977
"17206",44879,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","Inglis Limestone","","","","GCP,marine invertebrate","Toulmin 1977",1977
"17283",45069,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","Crystal River Limestone","","","","GCP,marine invertebrate","Toulmin 1977",1977
"17331",45281,"Late Santonian","",85.7,NA,"",83.6,NA,"",NA,NA,"","Eutaw","Tombigbee Sand","","","marine invertebrate","Kennedy and Cobban 1991",1991
"17347",45297,"Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Mooreville Chalk","","","","marine invertebrate","Kennedy and Cobban 1991",1991
"17356",45319,"Early Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Duwi","","","","marine invertebrate","Kassab and Mohamed 1996",1996
"17404",45444,"Early Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Anacacho Limestone","","","","GCP,marine invertebrate","Elder 1996",1996
"17487",45541,"Middle Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Pecan Gap Chalk","","","","GCP,marine invertebrate","Elder 1996",1996
"17572",45810,"Campanian","Early Maastrichtian",83.6,NA,"",66,NA,"",NA,NA,"","Kahuitara Tuff","","","","marine invertebrate","Stilwell 1997",1997
"17750",46169,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","Neerrepen Sands","","","","marine invertebrate","Deville 1996",1996
"17981",46466,"Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Tuffeau jaune de Touraine","","","","marine invertebrate","Jarvis et al. 1982",1982
"17982",46472,"Coniacian","",89.8,NA,"",85.7,NA,"",NA,NA,"","Craie de Villedieu","Calcaire dur dela Ribochere","","","marine invertebrate","Jarvis et al. 1982",1982
"18084",46868,"Late Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Raha","","","","marine invertebrate","Kassab and Ismael 1994",1994
"18094",46900,"Late Cenomanian","Early Turonian",100.5,NA,"",89.8,NA,"",NA,NA,"","Abu Qada","","","","marine invertebrate","Kassab and Ismael 1994",1994
"18109",46947,"Early Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Wata","","","","marine invertebrate","Kassab and Ismael 1994",1994
"18116",46992,"Santonian","",85.7,NA,"",83.6,NA,"",NA,NA,"","Matulla","","","","marine invertebrate","Kassab and Ismael 1994",1994
"18170",47149,"Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Khatiyah","","","","marine invertebrate","Metwally 1994",1994
"18189",47168,"Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Mishrif","","","","marine invertebrate","Metwally 1994",1994
"18371",47598,"Early Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Mungo River","","","","marine invertebrate","Riedel 1933",1933
"18423",47982,"Middle Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Coffee Sand","Tupelo Tongue","","","GCP,marine invertebrate","Dockery and Jennings 1988",1988
"18428",47987,"Middle Campanian","Late Campanian",83.6,NA,"",72.2,NA,"",NA,NA,"","Marshalltown","","","","marine invertebrate","Bernstein 1988",1988
"18521",48089,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Aqra Limestone","","","","marine invertebrate","Hanna 1995",1995
"18523",48095,"Early Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Ladd","Holz Shale","","1934","marine invertebrate","Elder and Saul 1996",1996
"18526",48098,"Coniacian","",89.8,NA,"",85.7,NA,"",NA,NA,"","Redding","Hooten Gulch","","1959","marine invertebrate","Elder and Saul 1996",1996
"18527",48099,"Early Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Chico","Tenmile","","1952","marine invertebrate","Elder and Saul 1996",1996
"18532",52590,"Late Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Sables du Perche","","","","marine invertebrate","Hardenbol et al. 1993",1993
"18541",52623,"Middle Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Theligny Chalk","","","","marine invertebrate","Hardenbol et al. 1993",1993
"18547",52629,"Middle Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Craie de Rouen","","","","marine invertebrate","Hardenbol et al. 1993",1993
"18561",52650,"Early Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Sables du Lamnay","","","","marine invertebrate","Hardenbol et al. 1993",1993
"18572",52675,"Early Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Saint Jouin","","","","marine invertebrate,vertebrate","Hardenbol et al. 1993",1993
"18613",52787,"Early Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Baddeckenstedt","","","","marine invertebrate","Lehmann 1999",1999
"18631",52805,"Middle Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Brochterbeck","","","","marine invertebrate","Lehmann 1999",1999
"18684",52862,"Late Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Holywell Nodular Chalk","Plenus Marls","","","marine invertebrate","Jefferies 1961",1961
"18714",52921,"Early Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Chiwapa","upper","","","GCP,marine invertebrate","Sohl and Koch 1983",1983
"19295",53611,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Owl Creek","","","","GCP,marine invertebrate","Sohl and Koch 1983",1983
"19813",54163,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Prairie Bluff","lower","","","GCP,marine invertebrate","Sohl and Koch 1983",1983
"23057",57936,"Early Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Providence","lower","","","GCP,marine invertebrate","Sohl and Koch 1983",1983
"23951",58917,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Ripley","lower","","","GCP,marine invertebrate","Sohl and Koch 1983",1983
"26423",61635,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Peedee","lower","","","marine invertebrate","Sohl and Koch 1987",1987
"26943",62246,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Severn","upper","","","marine invertebrate","Sohl and Koch 1987",1987
"27888",63267,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Tinton","","","","marine invertebrate","Sohl and Koch 1987",1987
"27919",63302,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Sandy Hook","lower","","","marine invertebrate","Sohl and Koch 1987",1987
"28263",63680,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Arkadelphia marl","","","","marine invertebrate","Sohl and Koch 1984",1984
"28315",63750,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Corsicana Marl","","","","GCP,marine invertebrate","Sohl and Koch 1984",1984
"30071",65799,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Escondido","lower","","","GCP,marine invertebrate","Sohl and Koch 1984",1984
"31194",67193,"Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Woodbine","Lewisville","","","marine invertebrate","Stephenson 1952",1952
"31509",67530,"Middle Cenomanian","Late Cenomanian",100.5,NA,"",93.9,NA,"",NA,NA,"","Lewisville","","","","marine invertebrate","Stephenson 1952",1952
"31592",68125,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Blue Bluff","","","","marine invertebrate","Hulbert et al. 1998",1998
"31596",68139,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Lincoln Creek","","","","marine invertebrate","Rigby and Goedert 1996",1996
"31606",68169,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Krasnoyarka","","","","marine invertebrate","Kase and Shigeta 1996",1996
"31621",68186,"Middle Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Saku","","","","marine invertebrate","Kase and Shigeta 1996",1996
"31632",68239,"Rupelian","",33.9,NA,"",27.3,NA,"",NA,NA,"","River Bend","Lower","","","marine invertebrate","Rossbach and Carter 1991",1991
"31671",68306,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Warley Hill","lower","","","marine invertebrate","Kensley and Williams 1990",1990
"31676",68313,"Kaiatan","",39.1,NA,"",36.7,NA,"",NA,NA,"","Island Sandstone","","","","marine invertebrate","Feldmann and Maxwell 1990",1990
"31685",68354,"Early Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Mutsuo","Azenotani Mudstone","","","marine invertebrate","Kase 1990",1990
"31706",68375,"Early Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Shindachi","","","","marine invertebrate","Kase 1990",1990
"31708",68377,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Seidan","","","","marine invertebrate","Kase 1990",1990
"31709",68378,"Early Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Chispa Summit","","","","marine invertebrate","Kennedy and Cobban 1990",1990
"31732",70219,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Roca","","","","marine invertebrate","Feldmann et al. 1995",1995
"31770",70289,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Jagüel","","","","marine invertebrate","Feldmann et al. 1995",1995
"31829",70356,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Paw Paw","","","","marine invertebrate","Lee 1996",1996
"31833",70368,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Main Street Limestone","","","","marine invertebrate","Lee 1996",1996
"31835",70442,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Chapelton","Guys Hill","","","marine invertebrate","Domning et al. 1997",1997
"31840",72209,"Bartonian","",41.03,NA,"",37.71,NA,"",NA,NA,"","Gosport Sand","","","","GCP,marine invertebrate","CoBabe and Allmon 1994",1994
"32363",73199,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Santee Limestone","","","","marine invertebrate","Powell and Baum 1982",1982
"32521",73672,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","Tupelo Bay","Pregnall","","","marine invertebrate","Powell and Baum 1982",1982
"32568",73749,"Late Eocene","",37.71,NA,"",33.9,NA,"",NA,NA,"","Cross","","","","marine invertebrate","Powell and Baum 1982",1982
"32579",73763,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","New Bern","","","","marine invertebrate","Powell and Baum 1982",1982
"32589",73774,"Bartonian","",41.03,NA,"",37.71,NA,"",NA,NA,"","Castle Hayne","Comfort","","","marine invertebrate","Powell and Baum 1982",1982
"32651",74509,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Bateque","","","","marine invertebrate","Squires and Demetrion 1992",1992
"32752",74784,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Juncal","","","","marine invertebrate","Squires 1988",1988
"32866",74968,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Crescent","","","","marine invertebrate","Squires and Goedert 1994",1994
"33332",75549,"Rupelian","",33.9,NA,"",27.3,NA,"",NA,NA,"","Red Bluff","","","","GCP,marine invertebrate","Dockery 1982",1982
"33362",75607,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Kincaid","Littig","","","GCP,marine invertebrate","Hansen et al. 1993",1993
"33828",81207,"Rupelian","",33.9,NA,"",27.3,NA,"",NA,NA,"","Forest Hill","","","","GCP,marine invertebrate","Dockery 1982",1982
"33886",81448,"Rupelian","",33.9,NA,"",27.3,NA,"",NA,NA,"","Mint Spring","","","","GCP,marine invertebrate","Dockery 1982",1982
"34215",83212,"Rupelian","",33.9,NA,"",27.3,NA,"",NA,NA,"","Marianna Limestone","","","","GCP,marine invertebrate","Dockery 1982",1982
"34220",83919,"Rupelian","",33.9,NA,"",27.3,NA,"",NA,NA,"","Glendon Limestone","","","","GCP,marine invertebrate","Dockery 1982",1982
"34230",84047,"Rupelian","",33.9,NA,"",27.3,NA,"",NA,NA,"","Byram","","","","GCP,marine invertebrate","Dockery 1982",1982
"34386",84992,"Early Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Merchantville","","","","marine invertebrate","Owens et al. 1970",1970
"34388",84994,"Early Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Crosswicks Clay","","","","marine invertebrate","Owens et al. 1970",1970
"34646",85263,"Early Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Englishtown","","","","marine invertebrate","Owens et al. 1970",1970
"34968",85596,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Mount Laurel Sand","","","","marine invertebrate","Owens et al. 1970",1970
"35259",86088,"Thanetian","",59.24,NA,"",56,NA,"",NA,NA,"","Pebble Point","","","","marine invertebrate","Darragh 1997",1997
"35360",86199,"Early Eocene","",56,NA,"",48.07,NA,"",NA,NA,"","Dilwyn","","","","marine invertebrate","Darragh 1997",1997
"36673",89415,"Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Raritan","","","","marine invertebrate","Richards 1962",1962
"36714",89457,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Blackdown Greensand","","","","marine invertebrate","Taylor et al. 1983",1983
"36956",91582,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","Yazoo","","","","GCP,marine invertebrate","Haasl and Hansen 1996",1996
"37670",97384,"Bartonian","",41.03,NA,"",37.71,NA,"",NA,NA,"","Stone City","","","","GCP,marine invertebrate","Nelson 1975",1975
"37897",97677,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Nacatoch Sand","","","","GCP,marine invertebrate","Stephenson 1941",1941
"37928",97711,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Kemp Clay","","","","GCP,marine invertebrate","Stephenson 1941",1941
"38084",97874,"Early Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Mexcala","","","","marine invertebrate","Perrilliat et al. 2000",2000
"38143",97933,"Middle Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Aguja","","","","GCP,marine invertebrate","Klein 1986",1986
"38797",98597,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Neylandville Marl","","","","GCP,marine invertebrate","Stephenson 1941",1941
"39240",99051,"Early Campanian","Middle Campanian",83.6,NA,"",72.2,NA,"",NA,NA,"","Wolfe City","","","","GCP,marine invertebrate","Sohl 1964",1964
"40460",100299,"Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Black Creek","","","","marine invertebrate","Sohl and Christopher 1983",1983
"40877",101266,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Reklaw","Marquez Shale","","","GCP,marine invertebrate","Garvie 1996",1996
"41156",101715,"Selandian","",61.66,NA,"",59.24,NA,"",NA,NA,"","Ewekoro","","","","marine invertebrate","Adegoke 1977",1977
